parents,children
8000,N/A
12156,N/A
13320,N/A
22850,22946
22850,N/A
23024,"23942, 23945, 23992, 27169"
23922,N/A
23821,23922
23925,23925
23821,23729
23831,"23831, 24781, 25476, 25515"
23024,N/A
23024,N/A
23024,N/A
24659,25053
23925,N/A
24927,24927
24926,"24926, 25463"
24980,N/A
24659,N/A
24927,N/A
23925,N/A
25481,N/A
23925,N/A
26117,N/A
26331,26333
26331,N/A
27023,N/A
27027,28695
23024,N/A
27585,N/A
27592,N/A
27627,28878
27656,28528
27952,"31966, 31967"
28007,N/A
28009,30148
28067,N/A
28122,28153
28122,N/A
28162,N/A
28166,N/A
28186,28529
28187,28213
28187,N/A
28428,"28531, 28821"
27656,N/A
28186,N/A
28428,N/A
28567,"29538, 29547"
28601,31972
27027,N/A
28696,"29226, 29227, 29744"
28788,N/A
28790,N/A
28428,N/A
28846,29399
27627,N/A
28696,29731
28696,N/A
29353,N/A
28846,N/A
28567,"30344, 30614"
28567,N/A
29711,30548
29226,N/A
28696,N/A
29826,N/A
30126,N/A
30143,N/A
28009,N/A
29538,N/A
30465,N/A
30466,N/A
30501,30503
30501,N/A
29711,N/A
29538,N/A
30771,N/A
31235,N/A
31471,N/A
27952,32645
27952,N/A
28601,N/A
31973,N/A
32289,N/A
31966,N/A
