id,parents,status
8000,8000,1
12156,12156,-1
13320,13320,
22850,22850,1
22946,22850,-1
23024,23024,1
23729,23922,1
23821,23821,-1
23831,23925,-1
23922,23821,-1
23925,23831,1
23942,23024,-1
23945,23024,-1
23992,23024,-1
24659,24659,1
24781,23925,1
24926,24927,1
24927,24926,1
24980,24980,1
25053,24659,-1
25463,24927,1
25476,23925,1
25481,25481,1
25515,23925,1
26117,26117,-1
26331,26331,
26333,26331,-1
27023,27023,-1
27027,27027,1
27169,23024,1
27585,27585,1
27592,27592,0
27627,27627,1
27656,27656,-1
27952,27952,0
28007,28007,1
28009,28009,1
28067,28067,
28122,28122,1
28153,28122,-1
28162,28162,
28166,28166,
28186,28186,1
28187,28187,1
28213,28187,1
28428,28428,1
28528,27656,1
28529,28186,-1
28531,28428,1
28567,28567,1
28601,28601,0
28695,27027,1
28696,28696,1
28788,28788,
28790,28790,
28821,28428,-1
28846,28846,1
28878,27627,1
29226,28696,1
29227,28696,1
29353,29353,1
29399,28846,-1
29538,28567,1
29547,28567,1
29711,29711,1
29731,29226,1
29744,28696,1
29826,29826,1
30126,30126,1
30143,30143,1
30148,28009,-1
30344,29538,1
30465,30465,
30466,30466,
30501,30501,0
30503,30501,1
30548,29711,1
30614,29538,1
30771,30771,1
31235,31235,-1
31471,31471,-1
31966,27952,1
31967,27952,1
31972,28601,-1
31973,31973,-1
32289,32289,1
32645,31966,1
