"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","sd"
"seq1_age",8,20,23,24.3315250316682,27,79,6.79554917698724
"seq_frnd_cnt",0,2,4,10.4611444621909,12,2025,23.6218124233484
"seq_songsListened",0,703.25,4891.5,13879.6821336124,17114.75,1e+06,23932.5303268021
"seq_shouts",0,1,3,16.0809329735088,9,7150,87.1057109068046
"seq_playlists",0,0,0,0.525940408657818,1,98,0.968283188528895
"seq_lovedTracks",0,0,9,61.6197334361403,49,9436,191.778457124784
"seq_posts",0,0,0,2.55942611664923,0,3277,35.1551804768067
"seq_sub_friend_cnt",0,0,0,0.191716693286336,0,52,0.821583725333613
"seq_tenure_mon",1,28,44,43.3569245173905,58,108,19.7531868898071
"seq_delta1_playlists",0,0,0,0.00344219860109049,0,9,0.0789895926384225
"seq_delta1_lovedTracks",0,0,0,2.60180646582585,0,1250,19.5942751509251
"seq_delta1_post",0,0,0,0.0632263039048301,0,1185,6.41641665393536
"seq_delta1_friend_cnt",0,0,0,0.476345211213306,0,521,4.03157948562493
"seq_delta1_songsListened",0,0,0,582.701464999725,325,129096,1784.99868252165
"seq_delta1_subscriber_friend_cnt",0,0,0,0.0407831690257201,0,16,0.238097553385303
"seq_delta2_friend_cnt",-34,0,0,0.361733766591397,0,1259,7.30219235555556
"seq_delta2_lovedTracks",0,0,0,2.057443410255,0,1238,17.6414334409327
"seq_delta2_posts",0,0,0,0.0147326100126673,0,94,0.768516871834336
"seq_delta2_songsListened",0,0,0,562.358016192102,229,101013,1962.3515368611
"seq_delta2_subscriber_friend_cnt",0,0,0,0.0410860825026161,0,9,0.241889880326663
"seq_delta2_playlists",-7,0,0,0.00107396596354023,0,7,0.0847723726875675
