"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","sd"
"seq1_age",8,22,25,26.9048625792812,30,73,7.45538319690304
"seq_frnd_cnt",0,3,9,20.7057082452431,21,726,41.626975204726
"seq_songsListened",0,4926,15335,26666.8033826638,34895,442774,35404.8508399959
"seq_shouts",0,1,4,40.1572938689218,17,4538,172.410966118808
"seq_playlists",0,0,1,0.872727272727273,1,25,1.71988112330348
"seq_lovedTracks",0,23,81,201.396617336152,217,8123,397.161807932989
"seq_posts",0,0,0,11.6596194503171,1,8506,189.961454138019
"seq_sub_friend_cnt",0,0,0,0.831712473572939,1,28,2.12799222639594
"seq_tenure_mon",4,30,45,44.7517970401691,60,108,20.0325380925428
"seq_delta1_playlists",0,0,0,0.013107822410148,0,3,0.131040443869356
"seq_delta1_lovedTracks",0,0,0,10.9353065539112,6,688,39.4472012238134
"seq_delta1_post",0,0,0,0.145877378435518,0,96,2.49573852570338
"seq_delta1_friend_cnt",0,0,0,1.35052854122622,1,83,4.63299484329391
"seq_delta1_songsListened",0,6,519,1577.52980972516,2074,64958,3064.02356080962
"seq_delta1_subscriber_friend_cnt",0,0,0,0.167864693446089,0,6,0.531717246678492
"seq_delta2_friend_cnt",-17,0,0,1.9014799154334,1,372,12.2221409589079
"seq_delta2_lovedTracks",0,0,2,16.907399577167,14,738,46.694287453136
"seq_delta2_posts",0,0,0,0.320507399577167,0,385,8.39322946945155
"seq_delta2_songsListened",0,238,1055,2053.62579281184,2665,76830,3376.50959544764
"seq_delta2_subscriber_friend_cnt",0,0,0,0.252854122621564,0,20,0.911663759249573
"seq_delta2_playlists",-3,0,0,0.0164904862579281,0,4,0.24881858842844
