,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,sd
seq1_age,8,22,25,26.90486258,30,73,7.455383197
seq_sub_male,4,30,45,44.75179704,60,108,0.424675168
seq_frnd_cnt,0,3,9,20.70570825,21,726,41.6269752
seq_songsListened,0,4926,15335,26666.80338,34895,442774,35404.85084
seq_shouts,0,1,4,40.15729387,17,4538,172.4109661
seq2_frnd_cntry,0,1,3,4.592389006,6,61,6.002434045
seq_playlists,0,0,1,0.872727273,1,25,1.719881123
seq_lovedTracks,0,23,81,201.3966173,217,8123,397.1618079
seq_posts,0,0,0,11.65961945,1,8506,189.9614541
seq_sub_friend_cnt,0,0,0,0.831712474,1,28,2.127992226
seq_tenure_mon,4,30,45,44.75179704,60,108,20.03253809
seq_delta1_playlists,0,0,0,0.145877378,0,96,2.495738526
seq_delta1_lovedTracks,0,0,0,10.93530655,6,688,39.44720122
seq_delta1_post,0,0,0,0.145877378,0,96,2.495738526
seq_delta1_friend_cnt,0,0,0,1.350528541,1,83,4.632994843
seq_delta1_songsListened,0,6,519,1577.52981,2074,64958,3064.023561
seq_delta1_subscriber_friend_cnt,0,0,0,0.167864693,0,6,0.531717247
seq_delta2_friend_cnt,-17,0,0,1.901479915,1,372,12.22214096
seq_delta2_lovedTracks,0,0,2,16.90739958,14,738,46.69428745
seq_delta2_posts,0,0,0,0.3205074,0,385,8.393229469
seq_delta2_songsListened,0,238,1055,2053.625793,2665,76830,3376.509595
seq_delta2_subscriber_friend_cnt,0,0,0,0.252854123,0,20,0.911663759
seq_delta2_playlists,-3,0,0,0.016490486,0,4,0.248818588
