"","age","male","friend_cnt","avg_friend_age","avg_friend_male","friend_country_cnt","subscriber_friend_cnt","songsListened","lovedTracks","posts","playlists","shouts","delta1_friend_cnt","delta1_avg_friend_male","delta1_friend_country_cnt","delta1_subscriber_friend_cnt","delta1_songsListened","delta1_lovedTracks","delta1_posts","delta1_playlists","delta1_shouts","adopter","tenure","good_country","delta1_good_country","delta2_friend_cnt","delta2_avg_friend_male","delta2_friend_country_cnt","delta2_subscriber_friend_cnt","delta2_songsListened","delta2_lovedTracks","delta2_posts","delta2_playlists","delta2_shouts","delta2_good_country","delta1_avg_friend_age_2","subfriendcount_treat","tenure_treat","age_treat"
"3",22,0,8,22.57142857,0.428571429,1,0,9687,194,0,1,8,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"4",31,0,0,NA,NA,0,0,26863,12,0,0,2,0,NA,0,0,0,0,0,0,0,0,55,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,0
"6",35,0,2,28,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"9",16,0,1,16,NA,1,0,13350,6,0,0,1,0,NA,0,0,1852,0,0,0,1,0,7,0,0,0,0,0,0,2015,0,0,0,NA,0,NA,0,0,0
"10",21,0,28,22.94736842,0.5,7,1,1357,32,0,0,1,2,0.045454546,0,1,842,1,0,0,0,0,25,0,0,1,0.02173913,1,0,176,1,0,0,NA,0,NA,1,0,0
"12",24,0,65,22.28301887,0.913793103,9,0,89984,20,2,0,81,0,0,0,0,40,0,0,0,0,0,67,0,0,-1,-0.001512402,0,0,2308,0,0,0,NA,0,NA,0,0,1
"13",24,0,1,25,NA,1,0,104,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,76,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,1
"16",21,1,12,25,0.777777778,1,0,124547,10,0,1,2,0,0,0,0,2125,0,0,0,0,0,53,1,0,0,0,0,0,115,0,0,0,NA,0,NA,0,1,0
"18",20,0,15,22,0.636363636,1,0,24852,391,6,1,67,0,0,0,0,1289,10,0,0,0,0,56,1,0,0,0,0,0,673,5,0,0,NA,0,NA,0,1,0
"22",27,1,1,NA,NA,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,42,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,1
"36",24,0,4,22,0,1,0,6125,42,0,0,5,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,1,0,683,0,0,0,NA,0,NA,0,0,1
"40",34,1,13,29.77777778,1,3,0,15997,82,0,1,3,0,0,0,0,279,3,0,0,0,0,49,1,0,0,0,0,0,87,1,0,0,NA,0,NA,0,1,0
"43",23,0,2,23.5,0.5,1,0,5706,1,0,1,3,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"44",19,0,3,17.5,0.333333333,2,0,17,5,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"47",20,1,0,NA,NA,0,0,4658,442,0,1,1,0,NA,0,0,298,34,0,0,0,0,26,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
"54",22,1,0,NA,NA,0,0,549,264,0,1,1,0,NA,0,0,115,11,0,0,0,0,25,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,1
"56",25,1,4,25,0,1,0,24066,2,0,1,4,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"62",33,1,2,31,0,1,1,80214,16,0,1,8,0,0,0,0,3726,0,0,0,0,0,60,0,0,0,0,0,0,1409,0,0,0,NA,0,NA,1,1,0
"64",24,0,1,20,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"65",22,0,3,23,0.5,1,0,12621,0,3,0,12,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"67",24,0,7,25.83333333,0.8,4,1,9870,141,0,1,4,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0.133333333,0,0,0,0,0,0,NA,0,NA,1,1,1
"69",36,1,4,25,0.75,4,1,17951,7,0,1,0,0,0,0,0,2190,0,0,0,0,0,61,0,0,0,0,0,1,1319,0,0,0,NA,0,NA,1,0,0
"72",28,1,2,21,1,1,0,14661,3,0,1,2,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"74",21,0,1,21,1,1,0,454,14,0,0,1,0,0,0,0,15,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"75",17,1,2,38,1,1,0,2290,0,0,1,1,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"77",20,0,17,21.69230769,0.538461539,4,0,53133,68,0,0,8,1,0,-1,0,3767,0,0,0,0,0,35,1,1,1,-0.038095238,0,0,1748,0,0,0,NA,0,NA,0,0,0
"79",22,1,1,25,0,1,0,246,7,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"85",26,1,12,25.33333333,0.727272727,4,0,22762,122,11,2,0,0,0,0,0,851,0,0,0,0,0,67,0,0,0,0,0,0,540,0,0,0,NA,0,NA,0,0,1
"86",27,0,1,23,0,1,0,727,1,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"87",21,1,2,24,1,1,0,1543,0,0,0,3,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"88",18,0,1,18,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"89",26,1,2,21.5,1,1,0,1949,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,0,0,6,-0.333333333,0,0,37,0,0,0,NA,0,NA,0,1,1
"92",41,1,19,31.0625,0.75,5,1,41867,29,0,1,2,0,0,0,0,556,2,0,0,0,0,36,0,0,0,0,0,0,830,0,0,0,NA,0,NA,1,0,0
"94",23,1,5,24.66666667,0.4,1,0,23577,3,1,1,34,0,0,-1,0,0,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"104",22,0,11,21.1,0.3,3,0,9005,184,0,1,19,1,0.1,1,0,3001,8,0,0,0,0,16,0,0,0,0,0,0,147,0,0,0,NA,0,NA,0,0,1
"108",20,0,1,17,1,1,0,2345,3,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"110",19,1,2,18.5,0.5,1,0,13271,3,0,0,2,0,0,0,0,1175,0,0,0,0,0,16,1,0,-1,0,-1,0,170,0,0,0,NA,0,NA,0,0,0
"111",30,0,8,27.6,1,2,0,4369,279,0,1,7,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"112",18,0,2,8,0.5,1,0,4914,43,0,0,7,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"113",26,1,1,NA,NA,1,0,432,12,0,1,1,0,NA,0,0,0,0,0,0,0,0,45,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,1
"119",20,1,5,21,0.6,3,0,32770,12,0,0,2,0,0,0,0,905,1,0,0,0,0,45,0,0,0,0,0,0,624,5,0,0,NA,0,NA,0,1,0
"121",25,1,1,25,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,1
"123",18,0,38,19.04,0.6875,3,0,23022,34,0,0,80,0,0,0,0,69,0,0,0,0,0,40,0,0,1,-0.020833333,0,0,957,0,0,0,NA,0,NA,0,1,0
"125",25,1,1,NA,NA,0,0,4647,11,0,1,2,0,NA,0,0,0,0,0,0,0,0,51,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,1
"126",26,0,6,24.25,0.666666667,3,0,19156,95,1,1,101,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"127",26,1,2,24,1,1,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"130",41,1,7,27.6,1,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"131",18,1,4,17,0.25,2,0,182,18,0,1,2,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"132",23,1,2,22.5,1,1,0,9216,0,0,0,6,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"140",22,0,3,23,0,1,0,4080,0,0,1,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"143",19,0,1,19,0,1,0,0,34,0,0,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"144",30,1,3,29,1,1,0,1647,33,0,1,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"146",20,1,4,34.66666667,0.5,1,0,2873,304,0,0,4,0,0,0,0,29,4,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"147",28,1,3,22.66666667,0,2,0,24,0,1,1,8,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"149",18,1,1,18,1,1,0,31207,0,0,0,3,0,0,0,0,7732,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"156",32,1,10,29.33333333,0.5,5,0,98797,6,0,1,3,1,0.071428571,0,0,1844,0,0,0,0,0,42,1,0,0,0,0,0,2360,0,0,0,NA,0,NA,0,1,0
"157",21,0,4,22.66666667,0.25,1,0,10232,8,0,0,18,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"158",21,1,4,21.66666667,0.75,1,0,223,2,0,0,9,0,0,0,0,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"162",23,1,4,23.5,0.666666667,1,0,18072,0,0,0,1,0,0,0,0,2091,0,0,0,0,0,38,0,0,0,0,0,0,769,0,0,0,NA,0,NA,0,0,1
