"","power_wt","psg_wt","pilot_wt","range_wt","toffdist_wt","recharge_time_wt","airspeed_wt","grdspeed_wt","utility","cost"
"83",1,1,1,0.5,1,1,0,0,0.677777777777778,5050
"116",1,0.7,1,1,1,1,0,0,0.673333333333333,5220
"119",1,1,1,1,1,1,0,0,0.733333333333333,5400
"263",1,1,1,1,0.5,1,0,0,0.688888888888889,5400
"551",1,1,1,1,1,0.5,0,0,0.711111111111111,5250
"983",1,1,1,1,1,0,0,0,0.688888888888889,5100
"1379",1,1,1,0.5,1,1,0.1,0,0.684444444444444,5070
"1412",1,0.7,1,1,1,1,0.1,0,0.68,5240
"1415",1,1,1,1,1,1,0.1,0,0.74,5420
"1427",1,1,0.5,1,1,1,0.1,0,0.673333333333333,5420
"1559",1,1,1,1,0.5,1,0.1,0,0.695555555555556,5420
"1847",1,1,1,1,1,0.5,0.1,0,0.717777777777778,5270
"1991",1,1,1,1,0.5,0.5,0.1,0,0.673333333333333,5270
"2279",1,1,1,1,1,0,0.1,0,0.695555555555556,5120
"2675",1,1,1,0.5,1,1,0.5,0,0.711111111111111,5150
"2708",1,0.7,1,1,1,1,0.5,0,0.706666666666667,5320
"2711",1,1,1,1,1,1,0.5,0,0.766666666666667,5500
"2712",0.5,1,1,1,1,1,0.5,0,0.688888888888889,5500
"2723",1,1,0.5,1,1,1,0.5,0,0.7,5500
"2855",1,1,1,1,0.5,1,0.5,0,0.722222222222222,5500
"2999",1,1,1,1,0,1,0.5,0,0.677777777777778,5500
"3107",1,1,1,0.5,1,0.5,0.5,0,0.688888888888889,5000
"3140",1,0.7,1,1,1,0.5,0.5,0,0.684444444444444,5170
"3143",1,1,1,1,1,0.5,0.5,0,0.744444444444444,5350
"3155",1,1,0.5,1,1,0.5,0.5,0,0.677777777777778,5350
"3287",1,1,1,1,0.5,0.5,0.5,0,0.7,5350
"3575",1,1,1,1,1,0,0.5,0,0.722222222222222,5200
"3719",1,1,1,1,0.5,0,0.5,0,0.677777777777778,5200
"3899",1,1,1,0,1,1,1,0,0.688888888888889,4900
"3935",1,1,1,0.1,1,1,1,0,0.7,4970
"3968",1,0.7,1,0.5,1,1,1,0,0.684444444444444,5070
"3971",1,1,1,0.5,1,1,1,0,0.744444444444444,5250
"3983",1,1,0.5,0.5,1,1,1,0,0.677777777777778,5250
"4001",1,0.4,1,1,1,1,1,0,0.68,5240
"4004",1,0.7,1,1,1,1,1,0,0.74,5420
"4006",0.2,1,1,1,1,1,1,0,0.675555555555556,5600
"4007",1,1,1,1,1,1,1,0,0.8,5600
"4008",0.5,1,1,1,1,1,1,0,0.722222222222222,5600
"4016",1,0.7,0.5,1,1,1,1,0,0.673333333333333,5420
"4019",1,1,0.5,1,1,1,1,0,0.733333333333333,5600
"4031",1,1,0.2,1,1,1,1,0,0.693333333333333,5600
"4115",1,1,1,0.5,0.5,1,1,0,0.7,5250
"4148",1,0.7,1,1,0.5,1,1,0,0.695555555555556,5420
"4151",1,1,1,1,0.5,1,1,0,0.755555555555556,5600
"4152",0.5,1,1,1,0.5,1,1,0,0.677777777777778,5600
"4163",1,1,0.5,1,0.5,1,1,0,0.688888888888889,5600
"4295",1,1,1,1,0,1,1,0,0.711111111111111,5600
"4367",1,1,1,0.1,1,0.5,1,0,0.677777777777778,4820
"4403",1,1,1,0.5,1,0.5,1,0,0.722222222222222,5100
"4436",1,0.7,1,1,1,0.5,1,0,0.717777777777778,5270
"4439",1,1,1,1,1,0.5,1,0,0.777777777777778,5450
"4440",0.5,1,1,1,1,0.5,1,0,0.7,5450
"4451",1,1,0.5,1,1,0.5,1,0,0.711111111111111,5450
"4463",1,1,0.2,1,1,0.5,1,0,0.671111111111111,5450
"4547",1,1,1,0.5,0.5,0.5,1,0,0.677777777777778,5100
"4580",1,0.7,1,1,0.5,0.5,1,0,0.673333333333333,5270
"4583",1,1,1,1,0.5,0.5,1,0,0.733333333333333,5450
"4727",1,1,1,1,0,0.5,1,0,0.688888888888889,5450
"4835",1,1,1,0.5,1,0,1,0,0.7,4950
"4868",1,0.7,1,1,1,0,1,0,0.695555555555556,5120
"4871",1,1,1,1,1,0,1,0,0.755555555555556,5300
"4872",0.5,1,1,1,1,0,1,0,0.677777777777778,5300
"4883",1,1,0.5,1,1,0,1,0,0.688888888888889,5300
"5015",1,1,1,1,0.5,0,1,0,0.711111111111111,5300
"5267",1,1,1,0.5,1,1,0,0.1,0.68,5060
"5300",1,0.7,1,1,1,1,0,0.1,0.675555555555556,5230
"5303",1,1,1,1,1,1,0,0.1,0.735555555555556,5410
"5447",1,1,1,1,0.5,1,0,0.1,0.691111111111111,5410
"5735",1,1,1,1,1,0.5,0,0.1,0.713333333333333,5260
"6167",1,1,1,1,1,0,0,0.1,0.691111111111111,5110
"6563",1,1,1,0.5,1,1,0.1,0.1,0.686666666666667,5080
"6596",1,0.7,1,1,1,1,0.1,0.1,0.682222222222222,5250
"6599",1,1,1,1,1,1,0.1,0.1,0.742222222222222,5430
"6611",1,1,0.5,1,1,1,0.1,0.1,0.675555555555556,5430
"6743",1,1,1,1,0.5,1,0.1,0.1,0.697777777777778,5430
"7031",1,1,1,1,1,0.5,0.1,0.1,0.72,5280
"7175",1,1,1,1,0.5,0.5,0.1,0.1,0.675555555555556,5280
"7463",1,1,1,1,1,0,0.1,0.1,0.697777777777778,5130
"7859",1,1,1,0.5,1,1,0.5,0.1,0.713333333333333,5160
"7892",1,0.7,1,1,1,1,0.5,0.1,0.708888888888889,5330
"7895",1,1,1,1,1,1,0.5,0.1,0.768888888888889,5510
"7896",0.5,1,1,1,1,1,0.5,0.1,0.691111111111111,5510
"7907",1,1,0.5,1,1,1,0.5,0.1,0.702222222222222,5510
