"","power","psg","pilot","range","distance","recharge_time","airspeed","grdspeed","power_wt","power_cost","psg_wt","psg_cost","pilot_wt","pilot_cost","range_wt","range_cost","toffdist_wt","toffdist_cost","recharge_time_wt","recharge_cost","airspeed_wt","airspeed_cost","grdspeed_wt","grdspeed_cost","utility","cost"
"42512","Electric",6,"Autonomous",90,0,5,40,10,1,2,0.7,4,1,10,1,4,1,8,1,7,0.4,3,0,1,0.7,4.94444444444444
"42566","Electric",6,"Autonomous",120,0,5,40,10,1,2,0.7,4,1,10,1,4,1,8,1,7,0.4,3,0,1,0.7,4.94444444444444
"42620","Electric",6,"Autonomous",150,0,5,40,10,1,2,0.7,4,1,10,1,5,1,8,1,7,0.4,3,0,1,0.7,5.13888888888889
"42674","Electric",6,"Autonomous",180,0,5,40,10,1,2,0.7,4,1,10,1,5,1,8,1,7,0.4,3,0,1,0.7,5.13888888888889
"66704","Electric",6,"Autonomous",90,0,10,80,10,1,2,0.7,4,1,10,1,4,1,8,0.7,6,0.6,4,0,1,0.7,4.91666666666667
"66758","Electric",6,"Autonomous",120,0,10,80,10,1,2,0.7,4,1,10,1,4,1,8,0.7,6,0.6,4,0,1,0.7,4.91666666666667
"66812","Electric",6,"Autonomous",150,0,10,80,10,1,2,0.7,4,1,10,1,5,1,8,0.7,6,0.6,4,0,1,0.7,5.11111111111111
"66866","Electric",6,"Autonomous",180,0,10,80,10,1,2,0.7,4,1,10,1,5,1,8,0.7,6,0.6,4,0,1,0.7,5.11111111111111
"85226","Electric",6,"Autonomous",90,5,5,100,10,1,2,0.7,4,1,10,1,4,0.7,7,1,7,0.8,5,0,1,0.7,4.94444444444444
"85280","Electric",6,"Autonomous",120,5,5,100,10,1,2,0.7,4,1,10,1,4,0.7,7,1,7,0.8,5,0,1,0.7,4.94444444444444
"85334","Electric",6,"Autonomous",150,5,5,100,10,1,2,0.7,4,1,10,1,5,0.7,7,1,7,0.8,5,0,1,0.7,5.13888888888889
"85388","Electric",6,"Autonomous",180,5,5,100,10,1,2,0.7,4,1,10,1,5,0.7,7,1,7,0.8,5,0,1,0.7,5.13888888888889
"90896","Electric",6,"Autonomous",90,0,30,100,10,1,2,0.7,4,1,10,1,4,1,8,0.4,5,0.8,5,0,1,0.7,4.88888888888889
"90950","Electric",6,"Autonomous",120,0,30,100,10,1,2,0.7,4,1,10,1,4,1,8,0.4,5,0.8,5,0,1,0.7,4.88888888888889
"91004","Electric",6,"Autonomous",150,0,30,100,10,1,2,0.7,4,1,10,1,5,1,8,0.4,5,0.8,5,0,1,0.7,5.08333333333333
"91058","Electric",6,"Autonomous",180,0,30,100,10,1,2,0.7,4,1,10,1,5,1,8,0.4,5,0.8,5,0,1,0.7,5.08333333333333
"93920","Electric",6,"Autonomous",90,0,45,100,10,1,2,0.7,4,1,10,1,4,1,8,0.4,5,0.8,5,0,1,0.7,4.88888888888889
